Country name,Year,Population,Population of children under the age of 1,Population aged 20 to 29 years
Oceania (UN),2021,44491724,684476,6662269
Oman,2021,4520474,77049,821108
Pakistan,2021,231402110,6093068,40973668
Palau,2021,18050,272,2454
Palestine,2021,5133393,142887,920393
Panama,2021,4351264,76109,680114
Papua New Guinea,2021,9949438,246278,1776974
Paraguay,2021,6703802,136592,1207093
Peru,2021,33715464,589314,5535533
Philippines,2021,113880340,2430020,19910488
Poland,2021,38307724,367056,4296016
Portugal,2021,10290109,82668,1114314
Puerto Rico,2021,3256030,26442,403674
Qatar,2021,2688239,27562,468652
Reunion,2021,966132,14063,128517
Romania,2021,19328558,196252,2056836
Russia,2021,145102750,1418044,15375599
Rwanda,2021,13461891,390887,2333461
Saint Barthelemy,2021,10888,87,1714
Saint Helena,2021,5428,42,421
Saint Kitts and Nevis,2021,47631,581,7248
Saint Lucia,2021,179663,2056,31432
Saint Martin (French part),2021,31964,499,2967
Saint Pierre and Miquelon,2021,5905,45,481
Saint Vincent and the Grenadines,2021,104340,1343,16019
Samoa,2021,218781,5883,34608
San Marino,2021,33772,204,3323
Sao Tome and Principe,2021,223118,6190,33998
Saudi Arabia,2021,35950396,637710,5396663
Senegal,2021,16876726,534567,2824049
Serbia,2021,7296771,67829,811002
Seychelles,2021,106486,1640,15680
Sierra Leone,2021,8420642,249995,1488204
Singapore,2021,5941063,41960,829327
Sint Maarten (Dutch part),2021,44061,320,8040
Slovakia,2021,5447621,54840,624188
Slovenia,2021,2119408,19288,221076
Small island developing states (SIDS),2021,73767220,1240633,11800486
Solomon Islands,2021,707855,20689,117812
Somalia,2021,17065588,696080,2757279
South Africa,2021,59392256,1161080,9997451
South Korea,2021,51830136,291366,6893319
South Sudan,2021,10748278,295787,1441259
Spain,2021,47486932,351137,4953692
Sri Lanka,2021,21773438,304804,3096034
Sudan,2021,45657204,1477255,7805974
Suriname,2021,612989,10960,98699
Sweden,2021,10467095,114049,1293600
Switzerland,2021,8691409,85820,1025208
Syria,2021,21324366,413623,3658750
Taiwan,2021,23859904,186239,3160639
Tajikistan,2021,9750078,255563,1685817
Tanzania,2021,63588332,2216127,10243480
Thailand,2021,71601100,646441,9794190
Togo,2021,8644829,263971,1438495
Tokelau,2021,1869,35,277
Tonga,2021,106034,2425,16817
Trinidad and Tobago,2021,1525671,17760,203089
Tunisia,2021,12262949,197361,1711793
Turkey,2021,84775410,1245243,13571382
Turkmenistan,2021,6341850,134016,1047644
Turks and Caicos Islands,2021,45141,554,6126
Tuvalu,2021,11229,259,1876
Uganda,2021,45853780,1626930,8521987
Ukraine,2021,43531424,335939,4696661
United Arab Emirates,2021,9365149,97100,1790582
United Kingdom,2021,67281040,679052,8472832
United States,2021,336997630,3689268,44924330
United States Virgin Islands,2021,100100,1154,9895
Upper-middle-income countries,2021,2519863600,27233976,340775700
Uruguay,2021,3426265,35505,508574
Uzbekistan,2021,34081452,808376,5716015
Vanuatu,2021,319146,9195,52622
Venezuela,2021,28199862,444172,3903186
Vietnam,2021,97468024,1453563,14810058
Wallis and Futuna,2021,11654,138,1241
Western Sahara,2021,565590,9317,83827
World,2021,7909295000,131409180,1194528500
Yemen,2021,32981644,969879,6170019
Zambia,2021,19473132,644396,3381339
Zimbabwe,2021,15993525,472443,2749147
